"id","name","agency","genres","image_url","popularity","songkick_id","spotify_url","spotify_id","spotify_followers"
164,"Galantis","WME","big room, dance pop, edm, electro house, pop, tropical house","https://i.scdn.co/image/5f57c69e2c34edb9847af7ada2e67449d1754df1",76,7688239,"https://open.spotify.com/artist/4sTQVOfp9vEMCemLw50sbu","4sTQVOfp9vEMCemLw50sbu",2224824
165,"Gareth Emery","WME","big room, edm, progressive electro house, progressive house, progressive trance, trance, uplifting trance","https://i.scdn.co/image/a87e328feafc86911fd3da414d741329fa24c9e0",61,593623,"https://open.spotify.com/artist/0hprEC0nsWuQPSHag1O2Vi","0hprEC0nsWuQPSHag1O2Vi",154148
166,"Goldfrapp","WME","alternative dance, art pop, big beat, chamber pop, chamber psych, dance pop, dance-punk, electroclash, electronic, electropop, folk-pop, indietronica, neo-synthpop, new rave, new wave pop, pop rock, trip hop","https://i.scdn.co/image/4224df3fe879a0527199e43e57911d9e9e336c87",57,254413,"https://open.spotify.com/artist/5BKsn7SCN2XmbF7apdCpRS","5BKsn7SCN2XmbF7apdCpRS",276644
167,"Groove Armada","WME","big beat, disco house, electronic, nu jazz, nu skool breaks, trip hop","https://i.scdn.co/image/d92b07becc4f9146722ed7cca9121a862267ddc1",60,71147,"https://open.spotify.com/artist/67tgMwUfnmqzYsNAtnP6YJ","67tgMwUfnmqzYsNAtnP6YJ",296514
168,"Guy Gerber","WME","deep melodic euro house, microhouse, minimal tech house, minimal techno, tech house","https://i.scdn.co/image/675db84236f1b8cc9e8cc605d11ef55c2713f082",42,343251,"https://open.spotify.com/artist/3bqBkAzdPwEDe1JUvb7ZeC","3bqBkAzdPwEDe1JUvb7ZeC",38496
169,"Holy Ghost!","WME","alternative dance, chillwave, dance-punk, filter house, indie psych-rock, indietronica, neo-synthpop, new rave, nu disco, shimmer pop","https://i.scdn.co/image/c427a337a78206317fe7ab42f44e2fbc194f52bd",47,272953,"https://open.spotify.com/artist/2Vhc7Y0Kc6HzMC6glKM4h6","2Vhc7Y0Kc6HzMC6glKM4h6",68918
170,"Hermitude","WME","aussietronica, australian dance, australian hip hop, deep australian indie, downtempo, edm, electronic trap, escape room","https://i.scdn.co/image/e51908331d69c213c885b119bc37748c75757ce8",59,332164,"https://open.spotify.com/artist/3fmMaLC5jjf2N4EC2kTx0u","3fmMaLC5jjf2N4EC2kTx0u",189266
171,"Hot Since 82","WME","deep disco house, deep groove house, deep house, house, minimal tech house, tech house","https://i.scdn.co/image/d64799fbc8e7557cb917e32108a6a29b3472b8f3",52,5101163,"https://open.spotify.com/artist/1tRBmMtER4fGrzrt8O9VpS","1tRBmMtER4fGrzrt8O9VpS",111083
172,"Icarus","WME","deep groove house, house","https://i.scdn.co/image/cce8712b28add2e1599a25bdf48e408505b6b55b",54,281343,"https://open.spotify.com/artist/0nUF7iT0e6D5xEl743Jfu3","0nUF7iT0e6D5xEl743Jfu3",16419
173,"Iglooghost","WME","escape room, indie r&b, vaporwave, wonky","https://i.scdn.co/image/6423845453d217c4d29e7a36a7deffffd6cc855b",46,8144793,"https://open.spotify.com/artist/7LCDnUQYE07fnKbo46SVLB","7LCDnUQYE07fnKbo46SVLB",27182
174,"Farley ""Jackmaster"" Funk","WME","acid house, chicago house, hip house","https://i.scdn.co/image/c8b55afcbfbe87b4e6a178c5bbe8c220c07336c3",25,176493,"https://open.spotify.com/artist/0B9P7RXrukgIdmutz9XMVN","0B9P7RXrukgIdmutz9XMVN",5426
175,"Jean-Michel Jarre","WME","electronic, laboratorio, new romantic, new wave, vintage french electronic","https://i.scdn.co/image/b52c1d09b0fb64ab4a88b84f3166dc5886826be1",57,266428,"https://open.spotify.com/artist/5MhLmv7GgyjbxGqiIGasvT","5MhLmv7GgyjbxGqiIGasvT",213513
176,"Jay Hardway","WME","big room, deep big room, edm, electro house, house, progressive electro house, progressive house, tropical house, tropical pop edm","https://i.scdn.co/image/9112e315a5c57abcf74bd1825525ffe1d5b992d8",63,7685974,"https://open.spotify.com/artist/12SPNXi0aDpFt0rMVbmLrr","12SPNXi0aDpFt0rMVbmLrr",226677
177,"Joris Voorn","WME","microhouse, minimal techno, tech house, techno","https://i.scdn.co/image/7fcaab5c872381f5900d16d4ff69889c7c01887b",49,525746,"https://open.spotify.com/artist/4jGpKAmwvU263l0tUh4xKU","4jGpKAmwvU263l0tUh4xKU",64162
178,"Joseph Capriati","WME","deep minimal techno, minimal techno, tech house, techno","https://i.scdn.co/image/6733381099178c59620eafea714712eb5ee9182f",41,708120,"https://open.spotify.com/artist/7onsqSWPufMm5ZnUCECDpf","7onsqSWPufMm5ZnUCECDpf",86819
